Anthology Publication Year,Anthology Type,Anthology Title,Collection Type,Source Title,Source Genre,Original Publication Year,Publication Decade,Author,Author Birth Year,Author Birth Decade,Author Gender,Anthology Section Header,Anthology Edition,Anthology Editors
1968,Special Topics - Black Literature Collection,Black Fire: An Anthology of Afro-American Writing,Chronological,A Love Song for Seven Little Boys Called; Sam,Short Story,,0s,"C.H. Fuller, Jr.",,0s,Male,Fiction,1st Ed,Langston Hughes; Gloria Naylor
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,Baxter's Procrustes,Short Story,1899,1890s,Charles W. Chesnutt,1858,1850s,Male,Fiction,1st Ed,Abraham Chapman;
1968,Special Topics - Black Literature Collection,Black Fire: An Anthology of Afro-American Writing,Chronological,Ain't That a Groove,Short Story,,0s,Charlie Cobb,,0s,Male,Fiction,1st Ed,Langston Hughes; Gloria Naylor
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,Neighbors,Short Story,,0s,Diane Oliver,1966,1960s,Female,Fiction,1st Ed,Abraham Chapman;
1968,Comprehensive African American Collection ,Dark Symphony: Negro Literature in America,Chronological,The Yellow One,Short Story,1926,1920s,Eric Walrond,1898,1890s,Male,The Negro Awakening,1st Ed,James A Emanuel
1968,Comprehensive African American Collection ,Dark Symphony: Negro Literature in America,Chronological,The Sky is Gray,Short Story,1963,1960s,Ernest Gaines,1933,1930s,Male,Contemporary Literature,1st Ed,James A Emanuel
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,McDougal,Short Story,,0s,Frank London Brown,1927,1920s,Male,Fiction,1st Ed,Abraham Chapman;
1968,Special Topics - Black Literature Collection,Black Fire: An Anthology of Afro-American Writing,Chronological,Fon,Short Story,,0s,Henry Dumas,,0s,Male,Fiction,1st Ed,Langston Hughes; Gloria Naylor
1968,Comprehensive African American Collection ,Dark Symphony: Negro Literature in America,Chronological,Sonny's Blues,Short Story,1957,1950s,James Baldwin,1924,1920s,Male,Major Authors,1st Ed,James A Emanuel
1968,Special Topics - Black Literature Collection,Black Fire: An Anthology of Afro-American Writing,Chronological,That She Would Dance No More,Short Story,,0s,Jean Wheeler Smith,,0s,Female,Fiction,1st Ed,Langston Hughes; Gloria Naylor
1968,Comprehensive African American Collection ,Dark Symphony: Negro Literature in America,Chronological,Son in the Afternoon,Short Story,1962,1960s,John A. Williams,1925,1920s,Male,Contemporary Literature,1st Ed,James A Emanuel
1968,Special Topics - Black Literature Collection,Black Fire: An Anthology of Afro-American Writing,Chronological,"Not Your Singing, Dancing Spade",Short Story,1967,1960s,Julia Fields,,0s,Female,Fiction,1st Ed,Langston Hughes; Gloria Naylor
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,Bop,Short Story,1949,1940s,Langston Hughes,1902,1900s,Male,Fiction,1st Ed,Abraham Chapman;
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,Census,Short Story,1965,1960s,Langston Hughes,1902,1900s,Male,Fiction,1st Ed,Abraham Chapman;
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,Coffee Break,Short Story,1965,1960s,Langston Hughes,1902,1900s,Male,Fiction,1st Ed,Abraham Chapman;
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,Cracker Prayer,Short Story,1951,1950s,Langston Hughes,1902,1900s,Male,Fiction,1st Ed,Abraham Chapman;
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,Feet Live Their Own Life,Short Story,1961,1960s,Langston Hughes,1902,1900s,Male,Fiction,1st Ed,Abraham Chapman;
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,Promulgations,Short Story,1961,1960s,Langston Hughes,1902,1900s,Male,Fiction,1st Ed,Abraham Chapman;
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,Temptation,Short Story,1947,1940s,Langston Hughes,1902,1900s,Male,Fiction,1st Ed,Abraham Chapman;
